,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.960400953933234,0.9629101916153838,0.9373576747767848,0.908001882088685,0.8882717970149202,0.8647173655781082,0.817905139273603,0.7670552422069572,0.7141283146282361,0.6644862400298911,0.6345093904416718,0.6168335290533633,0.6014148736469629,0.5963068511074677,0.6068201264854264,0.5835158737590328,0.6017193079898714,0.6567420936883329,0.6483447932190401,0.6179784860739769,0.5934737982533248,0.5702038537452764,0.5137808561240543,0.4897573162220495,0.4443309182900815,0.4264316052414592,0.38336679203953655,0.37997310718874144,0.3760712023681196,0.4145563603220482
1,0.1652722985553272,0.17283166409630554,0.17423819967086263,0.177900463627276,0.1794228687860719,0.18419852589671612,0.19367735807218664,0.18583530173314164,0.16862682496914502,0.15780428386525158,0.1463774582282137,0.14037499780438303,0.13547062843584315,0.13497437875674137,0.1358515750854786,0.1297540721271581,0.1304492753803024,0.13684631337189812,0.13464137859709222,0.12869564003389594,0.12397856126887184,0.11982384165522363,0.11000001801146823,0.10572797764506857,0.0974735733563438,0.09388347224940267,0.08662447450158878,0.08468081074594948,0.08418531763543266,0.09572614389507153
2,0.2916465748397063,0.30649550386446384,0.312227094045298,0.32078146025178744,0.3232951011568594,0.32750634341571755,0.3344945915643006,0.32354005665285673,0.3014291045207889,0.2847908461988233,0.26988117469616274,0.26040883215401905,0.25322846065935734,0.251119671869573,0.2540948838043886,0.24506200747889323,0.24711819215304132,0.2568713839381826,0.253630484253838,0.24357105434052842,0.2367030104152502,0.2298479294102349,0.2113532376071954,0.20213031700276943,0.18586593967769557,0.17923125301527548,0.16377595319173338,0.16006879887180778,0.15819270179804817,0.1782521276158161
3,0.3799666209993132,0.404957237950786,0.4157091815600454,0.42943393263583385,0.4381706336181662,0.44298793208503434,0.44894452630226256,0.43648112263194777,0.4125943393163073,0.391436361116238,0.3749239076133592,0.36386752186135524,0.35443801709312717,0.35066140271014473,0.35377261430904655,0.3421951337197499,0.344862863254972,0.3549867496606187,0.3505248110223692,0.3379214057454731,0.3286877879872837,0.31915286299489665,0.294483177133885,0.2821230902117852,0.2603217362669627,0.25168896658972645,0.23179797555172418,0.2260318226328536,0.2236104064522703,0.2480413232719993
4,0.4834132661531914,0.5155359141775352,0.5305806955386316,0.5515499431918195,0.5643080276154652,0.5732669625244234,0.5815324738322105,0.5703436357045008,0.5471848540177308,0.52299335737564,0.5044222183868943,0.49126814681141484,0.48027386476165684,0.475232586021889,0.4802948144767811,0.46701164277792634,0.4676607398592345,0.47791013479111777,0.473223707599584,0.45728576801264115,0.4478541466255594,0.436340513533725,0.40610656826657643,0.38972568981816597,0.36099529702177324,0.349855858748245,0.323343425843206,0.31559304515885866,0.310803867054404,0.3419590622381034
5,0.5700337532110916,0.6059440401932443,0.6246681267445059,0.6508192111567188,0.6673669199155265,0.6811656892015815,0.693310024509602,0.6868461749461362,0.6683006935234498,0.6463159565788389,0.6277772501125408,0.614086798585518,0.6023696778067299,0.597133437076285,0.6021780007710361,0.5899806826541785,0.5899676534796393,0.5994521939578418,0.5950520774643234,0.5783056974706996,0.5682458633895865,0.5548295790468839,0.5222550317359721,0.5050559996566323,0.4727986207751258,0.46089371840199717,0.432661604342042,0.42392312223844336,0.41867900849833245,0.4488449277754698
6,0.6137196438856237,0.6539535398160126,0.67943710799414,0.7097673322949171,0.7307393759833773,0.7462229132197358,0.7590855500484702,0.7578817558717388,0.744366095895568,0.7247805473830564,0.7071143451870906,0.6930407437930858,0.6807552239130086,0.6757518772921615,0.6809044795343754,0.6704027079097197,0.6720847909453385,0.6788750128742845,0.6748480950595614,0.6588136285567217,0.6486699928362591,0.6342395015902618,0.5997014177180587,0.5824052434063228,0.5479220634403554,0.5358261682583735,0.5080975045238337,0.49911338152268364,0.4940510842339445,0.5227712417770959
7,0.6287022066367559,0.6747218865493129,0.7039849139110687,0.7447490291599321,0.7682436777305666,0.7916600209808048,0.8138128514974267,0.8239858583038815,0.8193911184932273,0.8060904466563625,0.7904872950048415,0.7776377822111927,0.7656178882853611,0.7580040641444556,0.7649499078417018,0.7554529670997797,0.7535398523296812,0.7526669341719587,0.7480194515762641,0.7317912086149336,0.7226807980992299,0.7081443792091758,0.672894673568213,0.6541615805945418,0.6180325665564778,0.6057823800542186,0.5752291495311213,0.5645477016847625,0.5585285849967823,0.591738501380525
8,0.6280469918905343,0.6760246702211391,0.7052018322321368,0.7519939566567161,0.7752487547048205,0.8028021750829667,0.8302671797257608,0.8476317289265334,0.8516199819285855,0.8475097937334357,0.8347689679206168,0.8247083358362987,0.8133846680090794,0.8061609641752245,0.8133975152445311,0.8056062226997664,0.8013004313857242,0.7964835535489234,0.7928544116318959,0.7768299492463315,0.7693146053703996,0.7552022409662066,0.7222164088354222,0.7043816331954,0.6686235498807307,0.6573060965736331,0.6272816868884394,0.6165102015772389,0.610230401918028,0.6411544011381229
9,0.6047252562970109,0.6531304417803203,0.6859255050301116,0.7338878205257948,0.7589083639203172,0.78766177618744,0.8192005169927515,0.8411825675475714,0.8530323819070599,0.8562209980228651,0.8499368078529914,0.8434540069006097,0.8352189132596182,0.8269355027800551,0.8317112947066012,0.8243885607501794,0.81706016055784,0.8078918516388068,0.802447902973244,0.7877754829868089,0.7791492309529421,0.7639579944237666,0.7318792274486204,0.7136237691631928,0.6794219004832037,0.6685321232284555,0.6394985189883204,0.6282452632789922,0.622333075847328,0.647630259750053
