,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.014946492372416334,0.014792359752183284,0.014705118642694307,0.014641710171147794,0.014585562277775218,0.014537943924457496,0.01453820235587543,0.01451632747926081,0.014494711306463763,0.014484395472191644,0.014492570612351104,0.014488095379536612,0.014490863074206405,0.014486368851115336,0.014490320062339334,0.014492131160821715,0.01449290984137019,0.01447305658391898,0.01450195064280253,0.014506197542251933,0.014521397865695174,0.01458425304025361,0.014686383468005635,0.014860418764757743,0.015024799838395355,0.01528947126872524,0.015561970462403816,0.01665211250465907
1,0.025858258739177742,0.025599841232237262,0.025475802019504126,0.02538244055269178,0.025311298651473624,0.025245023653848078,0.025238000225207148,0.025212654134809068,0.025179496178977287,0.025155169720436254,0.025153795292132068,0.02515199142630366,0.025154013897368696,0.02514542930234719,0.0251458525067585,0.02513171769462177,0.025114139330880456,0.02507285607643746,0.025090916201827507,0.02507505950299223,0.02508163579208876,0.025161244573585057,0.02528716973458452,0.025500733861682456,0.025740902539974565,0.026160847459132674,0.026602579755616168,0.02809982161662096
2,0.05540682225452332,0.05487633340213379,0.05467189387964609,0.054544490823247416,0.054425751531798475,0.05422294480811161,0.054169032847876795,0.054054616039129325,0.0538993230412515,0.053808258878018954,0.05379002809318943,0.05371070335788163,0.05365169263087036,0.05358414923572863,0.05351129133897592,0.053425616007390146,0.05334901245945124,0.0531337163279213,0.05308596871058924,0.052954397036566604,0.052788419890742753,0.05271749840547285,0.05291744537716579,0.05321451590987563,0.05363857921580306,0.054551706555356634,0.05571199288401706,0.05476892673000845
3,0.05701090833692987,0.05650111452258265,0.05627352481695182,0.056135025108171,0.0560112069206698,0.05582536510360989,0.055773911092341734,0.05566737491197928,0.05552805508462812,0.05544384249110883,0.05541637553616403,0.05535001834010448,0.05529911863621023,0.055238741689312046,0.0551750788100501,0.05509302485613049,0.05501707496383426,0.05481784044841336,0.0547592331173676,0.05462836155915851,0.05447703147430733,0.05444765692584577,0.054663799073523645,0.05499317350410889,0.055444302679355566,0.05635251360584859,0.057485123819303846,0.05712729644864674
4,0.06885145927845068,0.06825810105070797,0.06798424751808436,0.06783104961026254,0.06770025296249507,0.06747850514647381,0.06741972199192876,0.06729892032776429,0.06712826766977686,0.06702826143383739,0.06699882551805648,0.06692084603351767,0.06685604612998475,0.06678733066328214,0.06670579988613905,0.06660429791571314,0.0665192636023254,0.0662765676825729,0.06620147428888605,0.06604606106206898,0.06586603320500754,0.06581036569247864,0.06603397215130034,0.06639641931094195,0.06691850144532675,0.06802007789131106,0.06939852386170259,0.06881191930196393
5,0.07683978723316916,0.07629677412914837,0.0759953468080826,0.07584348935560256,0.07572841563955751,0.07550582062383268,0.07546589423786644,0.07535482987425302,0.0751752333503582,0.07508050646685875,0.07507671563348926,0.07499987855517856,0.07493623135194971,0.07487338074281341,0.07478690612393915,0.07469911445431637,0.07464502453684915,0.07440644714436331,0.0743736585560037,0.07424883491258792,0.07409747266253232,0.07403890366458965,0.07425684976520056,0.07463047609084708,0.07516417395760933,0.07633471856689722,0.07766120938059067,0.0758374464306582
6,0.08103947726957805,0.08042950346644877,0.08011484519878352,0.07995202203001817,0.07983072716576695,0.07959774952562097,0.07954419015083637,0.07943230906189436,0.07924851915074042,0.07914519612751253,0.07912917430877704,0.07904553799692497,0.07898166038505007,0.07891356790095415,0.07882075569455331,0.078721373347843,0.0786494412747226,0.07839043296701426,0.078334205656472,0.07819017304308257,0.07802311346406451,0.0779674061824166,0.07820475484619314,0.07859043236509666,0.07917076998355561,0.08041038652199675,0.08184078726145348,0.08028538379330384
7,0.08667091297855113,0.08617524791526857,0.08582683156288666,0.08566170579020702,0.08554588001199509,0.08532548254808206,0.08528831090677237,0.08518954547984957,0.08501409371217682,0.08492596621484244,0.08491564291259261,0.08483925040401809,0.08478265016120538,0.08472842981500682,0.08464105969371241,0.08456301970884794,0.0845125547644096,0.08428068724250823,0.08423078741846822,0.08410287570554206,0.0839613460281628,0.08394540494550927,0.08423062533717585,0.08467926052877305,0.08529589844068376,0.08652658103204224,0.08788273594566604,0.08548626380308748
8,0.08528274726798506,0.0848634818337364,0.08450774148896575,0.08434096247336877,0.08422881808402709,0.08404248597969279,0.08401841937706608,0.08394165179848607,0.08379683739368728,0.08372532214138986,0.08371728932173365,0.08366376106258272,0.08362527233630157,0.083590888162608,0.08352099335556591,0.08345789565113199,0.08342469691305636,0.083237590303147,0.08319427631067822,0.0830873622829782,0.08299650373036022,0.08304311030815105,0.08333932149424376,0.08381558459700553,0.08444732995844623,0.08560108768101543,0.08686149616136592,0.08561789497555995
9,0.08787433172348527,0.08751562029653079,0.08714637861917607,0.08698611657828254,0.08687722144189905,0.08668639031573895,0.08666782476888239,0.08658724824786593,0.0864355463557778,0.08636956260445888,0.08637855554992051,0.0863221315044618,0.08628150813406305,0.0862505803293969,0.08618089368248924,0.08612726862316947,0.08610431050113442,0.08591192761226332,0.08587949719468525,0.0857865843250585,0.08568959454243659,0.08572815643549238,0.08602744012552926,0.08650821646665008,0.08712654709350653,0.08828203446323245,0.08950887761560145,0.08775789647660917
