,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.9152037589148386,0.8813321992944866,0.9073540991804062,0.9012771422197008,0.8883161154466893,0.8243518769381951,0.8017456685653868,0.7876748250296889,0.7703146471178317,0.7417267986418329,0.7095335052247715,0.6799038736926967,0.6169152559767649,0.5903295632228538,0.5729546127723018,0.5588326356639559,0.559371712419096,0.5577517489553038,0.5339113731180114,0.5084208869127865,0.49176048338856176,0.48955265959380934,0.45698585829290433,0.4490793217401966,0.4227084607615185,0.3927393531700596,0.3734770587181614,0.3518378341882178,0.33562141576881993,0.3260812725826137,0.3077831251100303,0.16005906125320105
1,0.1265705244784576,0.14514894265001763,0.12840968516828766,0.13352875478772874,0.12936437799912878,0.12550673979061897,0.1399124246212919,0.14152110642957136,0.13916507119610055,0.13652032060093955,0.1297104931681161,0.1262628111911504,0.11292826557591262,0.10892798782919039,0.11087375689383974,0.10643386819046313,0.10960189429313512,0.11191967172284689,0.10872113526743486,0.10380308101643856,0.09505970396601486,0.08805719521072229,0.0824501857553301,0.07630607611894492,0.06863163449911451,0.06369770348326051,0.05944832853452938,0.05585062456722454,0.05524604231077914,0.05490268540168111,0.054000585387892784,0.04060345738608995
2,0.16042459807843,0.1812538052748711,0.16638252244989693,0.17214929980614616,0.16819659620471022,0.1637096510482826,0.1769085411710248,0.1782425062621262,0.17632473123608286,0.17303565351638184,0.16567710117636592,0.16162920689117233,0.1464405399865399,0.14136886265218143,0.14216622917036975,0.13725581962187516,0.1399459627767661,0.14166827574206947,0.13723535615956975,0.13124739854816728,0.12161388952616163,0.11432894084873133,0.10712824409883664,0.10050237923243466,0.09186077565881234,0.0858368553146538,0.08070279621454524,0.07623055622102784,0.07479734435583889,0.07404415647725379,0.07169890266418952,0.04744310356136982
3,0.2663104049121035,0.2851672878470706,0.27466838401405214,0.2850343573039451,0.28345232975466284,0.2742664550158737,0.28416644799697766,0.28385108473802323,0.2818992648787825,0.27680591902352053,0.2693302565792788,0.2621446218613625,0.24159116708637324,0.23366881415226756,0.23282776966569113,0.22606705140844624,0.22836910111158373,0.23009059286321712,0.2217415426676883,0.21177582596884645,0.19912481808473337,0.19082488966135172,0.17879632007456406,0.1710183173883117,0.15832252130674213,0.14835793958232238,0.1405150833100873,0.133186896216396,0.12954860731583176,0.1273271066553544,0.12116581043515898,0.07073340119372404
4,0.3299441771194826,0.3505399378090026,0.3431115832633322,0.35561492225225,0.35477945732573507,0.3514903646638208,0.3614554082529872,0.3619052762145842,0.3613091290155923,0.3566807042935583,0.34967201352386745,0.3429238304985653,0.32225270507842635,0.31223641548743886,0.3088446362823381,0.301727491275535,0.30234357558474845,0.3024397591263882,0.29156720823304877,0.2796270108516896,0.26542191136391413,0.2561236283144682,0.24118068559895667,0.23141467268719745,0.2164767586110611,0.20418475741930223,0.19397752632694049,0.18519155929637865,0.17985858808681607,0.17557828727297373,0.16492952648218798,0.08780850099866698
5,0.40727758180909607,0.43138731403707076,0.4282069739862833,0.44469557422303635,0.44457523195062415,0.4479885647857295,0.4563740134139199,0.4588780202706028,0.4612933315857025,0.4580027273531558,0.4530203482750172,0.44671607557250304,0.4289132737652456,0.4171065824230431,0.4100262809305732,0.4035942210047862,0.40220739362734875,0.3990240148355692,0.38503037270773427,0.37076347029165085,0.3534252143958502,0.3428479144741184,0.32492959433311797,0.31295163797135933,0.29561213280912335,0.28073508287854493,0.26807738827843675,0.2576147598920245,0.2502177536807987,0.24323572142006636,0.22658837095315765,0.11158466956588639
6,0.47543305107995903,0.4998029730032155,0.4984568223368151,0.5184359788379967,0.5211926652314772,0.5294648684665659,0.536856057315086,0.5416214463561623,0.5461358343573252,0.5458298359975302,0.5453020149141075,0.5406859667436854,0.5268829069590357,0.5148361517299953,0.5071424814258628,0.5006828626979527,0.49844312395927937,0.4932934084040562,0.476972109907354,0.46041550884716326,0.43897547515253527,0.4269991549870736,0.40621039233530887,0.39230388931518184,0.3722750068061463,0.35472542084945063,0.3395665029311303,0.32722288609808353,0.31772407719803053,0.30793231712716984,0.28542124822457116,0.13530059000999065
7,0.5439408503447113,0.5707511007116249,0.572510340190214,0.5940683165265126,0.5985797492798145,0.6158819521840032,0.6216249723568961,0.6274598982612563,0.6355945941377297,0.6402552836627385,0.6445915486881277,0.6443735613843599,0.6353315022358192,0.6231915445422153,0.6139437247385838,0.6077345763453952,0.6045362292512475,0.5968016184772337,0.5770121108990548,0.5571267838641283,0.5308101829870591,0.5156762676934353,0.4906564721518869,0.47359214667006017,0.4500339362381519,0.4296376993815411,0.41129139842857926,0.3967670220770773,0.38464339464625336,0.3724339781383513,0.3439986227018854,0.15888309512910287
8,0.5642803249832474,0.5901809429081052,0.5944172141316834,0.622425457955293,0.6305057915265334,0.6566441491859909,0.6633459224725249,0.672466225035635,0.6841834393894979,0.6942600500816758,0.7066324878575465,0.7114901848716659,0.7154405949802302,0.7077605658231246,0.701435974028353,0.6975588677506422,0.6935862366586676,0.68340627628722,0.6624515511735677,0.6415748373469848,0.6111527161701,0.5946472262920433,0.5690970651927207,0.5500993618343143,0.5243834828167578,0.5028305583086189,0.4833823193180974,0.4682588687921816,0.45463298018408166,0.4399261221865651,0.4058997152954898,0.18390495257134906
9,0.5976552525572263,0.6208086240582615,0.629341398468334,0.6594951518679556,0.6681821081570639,0.6957806229834701,0.6989779162700513,0.709848100761179,0.7246681064086438,0.7374709483109074,0.7563321771642008,0.7634163935482585,0.7832250337124087,0.779042960722258,0.7751617932841376,0.7746052953039818,0.7724228543678311,0.7585025773210368,0.7346683799259417,0.7115547055587639,0.6753000767984115,0.6566297958861851,0.6298767680297683,0.6092666859814061,0.581598471199949,0.5590501011824993,0.5390442132093426,0.5233745268057683,0.5087309743855867,0.4923213554202377,0.45419184258888456,0.20352228720618334
