,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.986354362368865,0.9503542218176411,0.9111189082442525,0.8804761097667824,0.8711725703709587,0.8339634637747928,0.8061943322191126,0.7865676050692474,0.7681960410549972,0.756043185746277,0.7396206754953234,0.7430458657866518,0.7289891154497083,0.7170382280079111,0.709275757203526,0.7024635511352278,0.694026930935916,0.7005436984771379,0.696185551433429,0.6976731710788927,0.6855909181657164,0.6737691113781692,0.6615257914278908,0.6857122514394315,0.6726042650551629,0.6592720779815816,0.6432542040601794,0.6407778918633028,0.6333671446411248,0.6278549307795304,0.6386255049324828,0.630334446728538,0.6419840889352193,0.6740469026544339,0.678684563547421,0.7094170705099772,0.7122505472649033,0.6998917392192813,0.6897505406294612,0.6649727384681946,0.6590684530060842,0.6489971540202855,0.6354222337410325,0.632389202844975,0.6185082878648307,0.5983494660748391,0.5787354992455084,0.5086308440306738
1,0.9331378782919747,0.9849843425901506,0.9491784004150619,0.9284734493904422,0.9061822140710831,0.8709228479719499,0.8477685919781686,0.8308122215013876,0.8140183659919145,0.8029166345677718,0.7863942156533071,0.7909421138407822,0.7760823786295672,0.7614294272341589,0.7506658462098313,0.7436953449538636,0.7333593256428709,0.7403775990725258,0.7330592949423991,0.7332450951213831,0.7207407003721427,0.7083898215195383,0.6956650748280119,0.7186414002762749,0.7049469056794181,0.6935129408987039,0.6779395342936249,0.6779488818308427,0.6704670212016477,0.6645264227057555,0.6737336955664524,0.6647094605487405,0.6734081682401141,0.7080651187314964,0.7093243615917665,0.7332178572525225,0.733887329809635,0.7217959681310404,0.7124174015090317,0.686976489441958,0.6815288893211321,0.6706623716347088,0.6567687881324028,0.6540457062970596,0.6399447178029911,0.6210322798184441,0.6022563199611379,0.5296035151364785
2,0.8904746167317226,0.9325920390139538,0.9834472295647209,0.9590184260867443,0.9470939636935887,0.9077337952357127,0.889154323717413,0.8724776774962727,0.8594215881863303,0.8511717207229605,0.8363542956488629,0.837154078009953,0.8254637954437017,0.8122307011889539,0.800744246183082,0.7913165047287846,0.7811631786317165,0.7892156145455409,0.7824444941729993,0.7836218018190091,0.7712756110931693,0.7592286112486507,0.7455205529780543,0.77239504141712,0.7580239522241043,0.7467184023597929,0.7301339920847453,0.7265826044136754,0.7205296721225936,0.7139816844856266,0.7229833018192546,0.7130824827822749,0.7204446684205944,0.7550537165648677,0.7554921955941603,0.7772597308404382,0.7784331171169083,0.7679613632323833,0.7593836519676136,0.7333711560063768,0.7276718438109937,0.7150322521711061,0.7012131636403585,0.6962642583531462,0.6806699804066269,0.6625817692117197,0.6439297956646902,0.5715616221168094
3,0.8522725642514805,0.9053421606544003,0.9496921506328343,0.9839020480844185,0.971312113934699,0.9464561402979111,0.9339029691737147,0.9201783395192726,0.9102927859164179,0.9014439540184829,0.885965297930114,0.8838543493442804,0.8721444460114464,0.8585661388592292,0.8462310696333912,0.8396944749633894,0.8300358864733219,0.8357219561910088,0.8280869209713063,0.828607483397744,0.8143119273177108,0.7992522313501929,0.7839417777737808,0.8122090109064284,0.7997916328234715,0.7865643227992694,0.7700209949264886,0.766139612043984,0.7600033905970918,0.7536759504569812,0.7601324656054605,0.7490060859259136,0.7535136351805771,0.7853336839468237,0.7872723183949103,0.8071392582610105,0.8087049268939803,0.7987421530444779,0.7901611964239796,0.7649303814379963,0.7589628407082125,0.7466622796167867,0.7324618038167139,0.7262245970573209,0.7110259991413446,0.6945119051678064,0.6768011079686574,0.6038546963483566
4,0.8416097841273549,0.8832868260237734,0.9245046747733745,0.9566345398402365,0.982186427477359,0.9617154869276986,0.9489866785816965,0.937351079987479,0.9303407504427602,0.9219438261364137,0.9071761390632064,0.9045049025708749,0.894786274450292,0.8821829662343708,0.8716170607297906,0.8638031709705174,0.852958830793633,0.8583927899267012,0.8512224640914889,0.8512859298437769,0.835926755795829,0.8199139874985435,0.8042598452200898,0.8357245533714704,0.8251129891663024,0.8116259029688376,0.7943692641012524,0.7889265813186624,0.7834063009066361,0.7776581367053578,0.7836750119273694,0.7712678521416334,0.7743328103865585,0.8050818964308423,0.8072435628779724,0.8270049659496214,0.8269319151570876,0.8165657091878137,0.8078407498075266,0.783699342129605,0.7768362809413191,0.763579853541103,0.7493148576080286,0.7426363633932296,0.7278695307874007,0.7120831236051284,0.6943515511566706,0.6246197811332888
5,0.8024587829510672,0.8442424252939993,0.8763408391000062,0.9193380545482224,0.9482082538052553,0.9810285787275704,0.965659301823536,0.9567664110164736,0.9463757952250543,0.9348903250391125,0.9164553827295389,0.9128247437204685,0.900563514717719,0.8907234874990173,0.8807905751391609,0.8814477172035965,0.8734773556506055,0.8755843021412152,0.870487980394347,0.8713229257598132,0.8554509442938265,0.8357998353822922,0.8193908779793672,0.8488465136196405,0.8372408426191421,0.8179956649663538,0.7980820877471551,0.7909941574269019,0.7843391798754268,0.7795234082483055,0.7837183236216971,0.771700240353092,0.7760980737824948,0.8028548099604843,0.8085785146067589,0.8293822268134641,0.8334382341294728,0.8251158900734141,0.8159314590745468,0.7946837162802356,0.7874997252094535,0.7747966551454697,0.7618919207946129,0.7549461461101462,0.7414675922566543,0.7306883704199807,0.7151385154601332,0.6543183153977081
6,0.772160448768941,0.816689198954096,0.855122034471447,0.9015908037324,0.9295327088953803,0.9594884195979687,0.9784920219768443,0.9690502441803894,0.9615697822465568,0.9555014312577939,0.9419558505039279,0.9369974876259272,0.9267466637187187,0.9174073350702866,0.9051539759593008,0.9014537994164112,0.8926871835281734,0.8938175973266648,0.8874091179890363,0.887731523013831,0.8730335676746352,0.853981373128728,0.8380504418647068,0.8700688195150754,0.8578948729617933,0.842411359692794,0.8248070455591425,0.8164709066331236,0.8096823326696417,0.8033367902974143,0.8065486917847523,0.7919247491577723,0.7934309837310826,0.8183376254178751,0.8209920396240141,0.8373966316870575,0.8392414317354906,0.8307463711057084,0.8218854201599204,0.8005948885448084,0.7936771558158103,0.7811024411094251,0.7679331537538534,0.7606772211114581,0.7466794970746772,0.7344784430538593,0.7188512560123453,0.6560067518484298
7,0.752966171534943,0.7997111760900224,0.8394024555735402,0.8869759582059497,0.9153886690264843,0.9444591420079999,0.9615108702166137,0.9765284894753815,0.9698703615465071,0.9625965722587536,0.9482697761990069,0.9434062827695487,0.9338022960042173,0.924985217349139,0.915071338901619,0.9142050231751372,0.9064946027558244,0.9062342855260365,0.8997754615069262,0.9003239838747769,0.8846952717355598,0.8653954397479136,0.848935248861436,0.8816539997809237,0.8718228167626058,0.8556516021638967,0.8377895164811674,0.8291706220875524,0.8220896954102617,0.8154525755624324,0.8189029080463365,0.8047089951356214,0.8048730359520235,0.8258841893064335,0.8280307320003375,0.8444932742916444,0.8462542105273534,0.8381251310533817,0.82967708735025,0.8092355060599342,0.8024109578287825,0.7903257253034539,0.7777283699363683,0.7703772490660319,0.7570267923542363,0.7463409500935329,0.7310815111642205,0.6689158816451126
8,0.7356053474166131,0.7813847561179409,0.8279674842438204,0.8756780478712195,0.9066804509868464,0.9322119917857327,0.9523468654254704,0.964172197671437,0.9765388564571493,0.9714528919211698,0.9609574988809368,0.9561837497490266,0.948642129871983,0.9394823646366349,0.9302555966893048,0.9262305710078031,0.9174420038753299,0.9182216384139792,0.9123082809068204,0.911196754691787,0.8948820394229255,0.8759321898473109,0.8595480504768611,0.8942002598315045,0.8896167306335637,0.8745332519634141,0.8582069123332866,0.8498197011217561,0.8432195112914118,0.8355768507730419,0.8382545300618285,0.8219102144849667,0.8184803506447761,0.8380755249385723,0.8391343319295458,0.851856789715048,0.8514968287084973,0.8429648165444337,0.835160332385977,0.8146240516316656,0.8073994273617777,0.7952704515502809,0.7820643652573168,0.7746024402942466,0.7613805315289696,0.7508909571838437,0.735669562952671,0.6747842192032683
9,0.7244084617977372,0.7711488453109956,0.8199109920792716,0.8666746674276815,0.8972714766838419,0.9195924724675947,0.9430755828077597,0.9530661753216031,0.9666627737560709,0.9751685679238625,0.9695553894341156,0.9650581153590254,0.9599232415664122,0.9501864550279444,0.9383455155430285,0.9321621334195321,0.9226046457045184,0.9235345376915133,0.9171312293823256,0.9154808153639568,0.8996967501728023,0.8817417222216641,0.865589005893692,0.9005377411724292,0.8946082914295677,0.885064108996461,0.8710010337676102,0.8624806808357055,0.856784626303102,0.8490903112308523,0.8498164927563832,0.8328315174521845,0.8276889397614916,0.8461620721421785,0.8454143221892425,0.8557800436766758,0.8532466647198977,0.8441771727929441,0.8364468577332902,0.8154568674754324,0.8074748163782333,0.7952225006683227,0.781675050467318,0.7739975916763283,0.7605916856221576,0.7486011788375342,0.7330940473760779,0.6700705480923155
